;name;room;seats;address;lon;lat
179;Hackesche Höfe Kino;3;143;Rosenthaler Straße 40-41 10178 Berlin Mitte;13,4025359;52,5240131
180;Hackesche Höfe Kino;4;44;Rosenthaler Straße 40-41 10178 Berlin Mitte;13,4025359;52,5240131
181;Hackesche Höfe Kino;5;71;Rosenthaler Straße 40-41 10178 Berlin Mitte;13,4025359;52,5240131
182;International;1;551;Karl-Marx-Allee 33 10178 Berlin Mitte (030) 247 560 11Homepage;13,42318;52,52067
183;Intimes;1;97;Niederbarnimstraße 15 10247 Berlin Friedrichshain;13,4583387;52,5131084
184;Karli (CINEPLEX - Neukölln);1;516;Karl-Marx-Straße 66 12043 Berlin Neukölln;13,432996;52,4821579
185;Karli (CINEPLEX - Neukölln);2;194;Karl-Marx-Straße 66 12043 Berlin Neukölln;13,432996;52,4821579
186;Karli (CINEPLEX - Neukölln);3;359;Karl-Marx-Straße 66 12043 Berlin Neukölln;13,432996;52,4821579
187;Karli (CINEPLEX - Neukölln);4;233;Karl-Marx-Straße 66 12043 Berlin Neukölln;13,432996;52,4821579
188;Karli (CINEPLEX - Neukölln);5;233;Karl-Marx-Straße 66 12043 Berlin Neukölln;13,432996;52,4821579
189;Karli (CINEPLEX - Neukölln);6;278;Karl-Marx-Straße 66 12043 Berlin Neukölln;13,432996;52,4821579
190;Karli (CINEPLEX - Neukölln);7;274;Karl-Marx-Straße 66 12043 Berlin Neukölln;13,432996;52,4821579
191;Karli (CINEPLEX - Neukölln);8;233;Karl-Marx-Straße 66 12043 Berlin Neukölln;13,432996;52,4821579
192;Karli (CINEPLEX - Neukölln);9;233;Karl-Marx-Straße 66 12043 Berlin Neukölln;13,432996;52,4821579
193;"Kino
im Kulturhaus Spandau";1;82;Mauerstraße 6 13597 Berlin Spandau (030) 333 60 81Homepage;13,202338;52,5355396
194;Kino in der Kulturbrauerei;1;62;Schönhauser Allee 36-39 Eingang Sredzkistraße;13,41298;52,5383
195;Kino in der Kulturbrauerei;2;62;Schönhauser Allee 36-39 Eingang Sredzkistraße;13,41298;52,5383
196;Kino in der Kulturbrauerei;3;444;Schönhauser Allee 36-39 Eingang Sredzkistraße;13,41298;52,5383
197;Kino in der Kulturbrauerei;4;254;Schönhauser Allee 36-39 Eingang Sredzkistraße;13,41298;52,5383
198;Kino in der Kulturbrauerei;5;162;Schönhauser Allee 36-39 Eingang Sredzkistraße;13,41298;52,5383
199;Kino in der Kulturbrauerei;6;241;Schönhauser Allee 36-39 Eingang Sredzkistraße;13,41298;52,5383
200;Kino in der Kulturbrauerei;7;265;Schönhauser Allee 36-39 Eingang Sredzkistraße;13,41298;52,5383
201;Kino in der Kulturbrauerei;8;75;Schönhauser Allee 36-39 Eingang Sredzkistraße;13,41298;52,5383
202;Kino Kiste;1;37;Heidenauer Straße 10 12627 Berlin Hellersdorf;13,60946;52,53619
203;Kino Krokodil;1;75;Greifenhagener Straße 32 10437 Berlin Prenzlauer Berg;13,4194181;52,5522633
204;Kino Spreehöfe;1;310;Wilhelminenhofstraße 89 12459 Berlin Köpenick;13,51168;52,46215
205;Kino Spreehöfe;2;180;Wilhelminenhofstraße 89 12459 Berlin Köpenick;13,51168;52,46215
206;Kino Spreehöfe;3;94;Wilhelminenhofstraße 89 12459 Berlin Köpenick;13,51168;52,46215
207;Kino Spreehöfe;4;90;Wilhelminenhofstraße 89 12459 Berlin Köpenick;13,51168;52,46215
208;Kino Spreehöfe;5;136;Wilhelminenhofstraße 89 12459 Berlin Köpenick;13,51168;52,46215
209;Kiste;1;37;Heidenauer Straße 10 12627 Berlin Hellersdorf;13,60946;52,53619
210;Krokodil;1;75;Greifenhagener Straße 32 10437 Berlin Prenzlauer Berg;13,4194181;52,5522633
211;Kulturbrauerei;1;62;Schönhauser Allee 36-39 Eingang Sredzkistraße;13,41298;52,5383
212;Kulturbrauerei;2;62;Schönhauser Allee 36-39 Eingang Sredzkistraße;13,41298;52,5383
213;Kulturbrauerei;3;444;Schönhauser Allee 36-39 Eingang Sredzkistraße;13,41298;52,5383
214;Kulturbrauerei;4;254;Schönhauser Allee 36-39 Eingang Sredzkistraße;13,41298;52,5383
215;Kulturbrauerei;5;162;Schönhauser Allee 36-39 Eingang Sredzkistraße;13,41298;52,5383
216;Kulturbrauerei;6;241;Schönhauser Allee 36-39 Eingang Sredzkistraße;13,41298;52,5383
217;Kulturbrauerei;7;265;Schönhauser Allee 36-39 Eingang Sredzkistraße;13,41298;52,5383
218;Kulturbrauerei;8;75;Schönhauser Allee 36-39 Eingang Sredzkistraße;13,41298;52,5383
219;Kulturhaus Spandau;1;82;Mauerstraße 6 13597 Berlin Spandau (030) 333 60 81Homepage;13,202338;52,5355396
220;LEGOLAND® Discovery Centre;1;94;Potsdamer Straße 4  10785 Berlin Tiergarten;13,3732867;52,5100083
221;Lichtblick Kino;1;32;Kastanienallee 77 10435 Berlin Prenzlauer Berg (030) 440 581 79Homepage;13,40814;52,53637
222;Martin-Gropius-Bau;1;202;Niederkirchner Straße 7 10963 Berlin Kreuzberg (030) 254 86 0Homepage;13,3819377;52,5066485
223;Moviemento;1;103;Kottbusser Damm 22 10967 Berlin Kreuzberg (030) 692 47 85Homepage;13,42342;52,49024
224;Moviemento;2;67;Kottbusser Damm 22 10967 Berlin Kreuzberg (030) 692 47 85Homepage;13,42342;52,49024
225;Moviemento;3;62;Kottbusser Damm 22 10967 Berlin Kreuzberg (030) 692 47 85Homepage;13,42342;52,49024
226;"Neues
OFF";1;193;Hermannstraße 20 12049 Berlin Neukölln;13,4245;52,48347
227;New Yorck;1;228;Yorckstraße 86 10965 Berlin Kreuzberg (030) 789 132 40Homepage;13,38511;52,49307
228;New Yorck;2;95;Yorckstraße 86 10965 Berlin Kreuzberg (030) 789 132 40Homepage;13,38511;52,49307
229;Odeon;1;359;Hauptstraße 116 10827 Berlin Schöneberg (030) 787 040 19Homepage;13,34941;52,48212
230;Passage;1;220;Karl-Marx-Straße 131-133 12043 Berlin Neukölln;13,4388328;52,4775146
